id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4,location.latitude,location.longitude,location.human_address
13383420,JH169675,2024-02-28T23:40:00.000,017XX W 35TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0912,009,11,59,08B,1165103,1881505,2024,2024-03-07T15:41:23.000,41.830450748,-87.66973487,26,14924,56,721,1,43,23,165,7,41.830450748,-87.66973487,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383331,JH169694,2024-02-28T23:30:00.000,080XX S WOODLAWN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,0411,004,8,45,08B,1185606,1852027,2024,2024-03-07T15:41:23.000,41.749101491,-87.595437814,9,21546,41,133,35,61,19,224,10,41.749101491,-87.595437814,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383333,JH169689,2024-02-28T23:30:00.000,040XX N MARMORA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1624,016,38,15,08B,1136294,1926346,2024,2024-03-07T15:41:23.000,41.954062293,-87.774365755,25,22254,15,26,19,52,12,15,38,41.954062293,-87.774365755,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383325,JH169688,2024-02-28T23:20:00.000,090XX S DAUPHIN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,0633,006,8,44,08B,1183733,1845372,2024,2024-03-07T15:41:23.000,41.730883317,-87.602508224,9,21546,43,429,35,61,20,248,10,41.730883317,-87.602508224,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383307,JH169678,2024-02-28T23:19:00.000,036XX W FRANKLIN BLVD,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,False,False,1122,011,27,23,15,1152190,1903092,2024,2024-03-07T15:41:23.000,41.889951935,-87.716544407,41,21572,24,584,46,30,16,82,27,41.889951935,-87.716544407,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383340,JH169670,2024-02-28T23:17:00.000,030XX N CICERO AVE,2022,NARCOTICS,POSSESS - COCAINE,STREET,True,False,2521,025,31,19,18,1143848,1919718,2024,2024-03-07T15:41:23.000,41.935735901,-87.746762689,7,22618,19,460,17,21,6,176,31,41.935735901,-87.746762689,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383324,JH169691,2024-02-28T23:13:00.000,124XX S MICHIGAN AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,RESIDENCE - GARAGE,False,False,0532,005,9,53,15,1179019,1822486,2024,2024-03-07T15:41:23.000,41.668189482,-87.620471046,30,21861,50,504,43,19,10,219,11,41.668189482,-87.620471046,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383938,JH170241,2024-02-28T23:09:00.000,004XX E 75TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0624,006,6,69,07,1180436,1855381,2024,2024-03-07T15:41:23.000,41.758425342,-87.614279783,31,21546,67,515,32,61,18,223,4,41.758425342,-87.614279783,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383899,JH170137,2024-02-28T23:00:00.000,050XX S FORRESTVILLE AVE,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,0223,002,20,38,07,1180774,1871839,2024,2024-03-07T15:41:23.000,41.803579912,-87.612535447,1,21192,4,394,10,10,24,116,20,41.803579912,-87.612535447,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383489,JH169847,2024-02-28T23:00:00.000,056XX S NAGLE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0811,008,13,56,07,1134349,1866409,2024,2024-03-07T15:41:23.000,41.789621208,-87.78292879,35,22268,53,589,15,7,13,131,13,41.789621208,-87.78292879,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
